Case|comparison_pops_|label_|count|mean|std|min|25%|50%|75%|max
Same|FIN|eur_univar_out|4186,0|0,012320706879730638|0,0058311548962926224|-0,006801451329268256|0,008256443120125917|0,012062033458146328|0,016035914770895762|0,03637558926464884
Same|GBR|all_multivar_out|3486,0|0,016071590059937184|0,005255645345123471|0,004356335915836487|0,013539840079398735|0,015730079224995676|0,018139502173946706|0,16088615003907725
Same|GBR|all_orig|3655,0|0,01832847208472866|0,0051516747230402355|0,006704203044803449|0,01582869265348206|0,018015915834804466|0,020385912904848126|0,16175250066852728
Same|GBR|all_univar_out|3570,0|0,017636273649526437|0,005185222062420228|0,006233678101694502|0,015095688541097784|0,01727243027200339|0,019681886326334136|0,16068193302588146
Same|GBR|eur_multivar_out|3486,0|-3,8021793750439305e-05|0,00558399042066298|-0,011330150644413561|-0,0027409211610402405|-0,00042448554837951763|0,0020544074959455046|0,15442099204120036
Same|GBR|eur_orig|3655,0|-3,8347310826134326e-05|0,005536419997510641|-0,011582161919105903|-0,002776712676569793|-0,00043017935632985857|0,002117105865879263|0,1562560072951275
Same|GBR|eur_univar_out|3570,0|-5,238361129245521e-05|0,005569572169967462|-0,011287899480744212|-0,0027718356980421057|-0,000474543858453332|0,0020589139050228283|0,15592097518756973
Same|TSI|all_multivar_out|3741,0|0,019695528087040386|0,00346232767196722|0,009386267420513754|0,017507664699205675|0,01962934760900319|0,021676538466857583|0,07018432584854291
Same|TSI|all_orig|4095,0|0,021610771292195633|0,0034033234098526494|0,011085729938162217|0,019409206468118743|0,02152254546312168|0,023575156087616296|0,07137304419827831
Same|TSI|all_univar_out|3916,0|0,021033899136255047|0,003392068988740283|0,010871590887232522|0,018848282212201816|0,020964534002242845|0,02297094302758482|0,07232979797549592
Same|TSI|eur_multivar_out|3741,0|0,007805873991638569|0,0036184438433526376|-0,004020463467875339|0,0054836218568023965|0,0077057115850287|0,009915986130360573|0,062142918412039214
Same|TSI|eur_orig|4095,0|0,0076954130410397375|0,003591923207908118|-0,0034073173279353217|0,005394393713418547|0,007533259847628109|0,009816110766941256|0,06298354779376991
Same|TSI|eur_univar_out|3916,0|0,007747919690755958|0,00357324738979799|-0,00369153949715993|0,005430808302785476|0,007669646213649099|0,009828681495733394|0,0615958239610497
Same|YRI|all_multivar_out|2850,0|0,28953191389319566|0,004096945017461562|0,26875001348997674|0,2868903714564502|0,28964575626155586|0,2922568092582953|0,3091031024375544
Same|YRI|all_orig|3741,0|0,27927104235814376|0,004006900048956273|0,2592504607117175|0,27683484032012634|0,27930049298938153|0,2818479522451228|0,3015141853455163
Same|YRI|all_univar_out|3486,0|0,2815994037262024|0,004107711073498643|0,26059993407994514|0,2789917827769018|0,2816492189567673|0,2843864364223394|0,30360291039650295
